Vivado Simulator 2018.3
Time resolution is 1 ps
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/MMCME2_ADV.v" Line 4488: Timing violation in scope /design_top_temp_tb/uut/feedback/mmcme2_test_inst/TChk4488_107937 at time 8276 ps $width (negedge CLKIN1,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/MMCME2_ADV.v" Line 4494: Timing violation in scope /design_top_temp_tb/uut/feedback/mmcme2_test_inst/TChk4494_107943 at time 13276 ps $width (posedge CLKIN1,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[31]/TChk157_16343 at time 11131507 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[32]/TChk157_16343 at time 11131507 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[33]/TChk157_16343 at time 11131533 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[34]/TChk157_16343 at time 11131533 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[35]/TChk157_16343 at time 11131533 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[36]/TChk157_16343 at time 11131533 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[37]/TChk157_16343 at time 11131533 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[38]/TChk157_16343 at time 11131533 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[32]/TChk157_16343 at time 11131565 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[36]/TChk157_16343 at time 11131565 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[37]/TChk157_16343 at time 11131565 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[38]/TChk157_16343 at time 11131565 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[39]/TChk157_16343 at time 11131565 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[40]/TChk157_16343 at time 11131565 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/uart/tx/tx_reg_reg[41]/TChk157_16343 at time 11131565 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[28]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[29]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[31]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[33]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[34]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[35]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[42]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/coarse_ts_reg_reg[43]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/tx_in_reg[32]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/tx_in_reg[33]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/tx_in_reg[42]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
WARNING: "/tools/Xilinx/Vivado/2018.3/data/verilog/src/unisims/FDRE.v" Line 157: Timing violation in scope /design_top_temp_tb/uut/top_sub1/tx_m/tx_in_reg[43]/TChk157_16343 at time 11131567 ps $width (posedge C &&& CE,(0:0:0),0,notifier) 
